127.0.0.1 - - [10/Aug/2023:01:11:19 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:15:29 +0300] "POST /crm/account/login?username=admin&password=111 HTTP/1.1" 404 66
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:18:27 +0300] "POST /crm/account/login?username=admin&password=111 HTTP/1.1" 404 66
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:18:39 +0300] "POST /crm/account/login?username=admin&password=111 HTTP/1.1" 404 66
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:18:41 +0300] "POST /crm/account/login?username=admin&password=111 HTTP/1.1" 404 66
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:19:13 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:20:19 +0300] "POST /crm/account/login?username=admin&password=123 HTTP/1.1" 404 66
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:20:24 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [10/Aug/2023:22:55:37 +0300] "GET /crm/contacts HTTP/1.1" 404 78
0:0:0:0:0:0:0:1 - - [10/Aug/2023:22:55:37 +0300] "GET /crm/contacts HTTP/1.1" 404 78
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:04:01 +0300] "GET /crm/contacts HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:04:01 +0300] "GET /crm/contacts HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:04:36 +0300] "POST /crm/contacts?first_name=Bla&last_name=Bak&email=blabak%40gmail.com HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:05:10 +0300] "GET /crm/contacts HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:05:10 +0300] "GET /crm/contacts HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:05:18 +0300] "OPTIONS /crm/contacts?id=3&first_name=Bla&last_name=Bake&company_id=1&email=blabak%40gmail.com HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:05:18 +0300] "PUT /crm/contacts?id=3&first_name=Bla&last_name=Bake&company_id=1&email=blabak%40gmail.com HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:23:46 +0300] "GET /crm/customers?is_customer=1 HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:23:46 +0300] "GET /crm/customers?is_customer=1 HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:24:02 +0300] "GET /crm/customers?is_customer=0 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:24:02 +0300] "GET /crm/customers?is_customer=0 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:24:19 +0300] "GET /crm/customers?is_customer=1 HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:24:19 +0300] "GET /crm/customers?is_customer=1 HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:24:33 +0300] "POST /crm/customers?company_name=SAD&is_customer=1 HTTP/1.1" 404 122
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:24:35 +0300] "POST /crm/customers?company_name=SAD&is_customer=1 HTTP/1.1" 404 122
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:24:40 +0300] "POST /crm/customers?company_name=SAD&is_customer=1 HTTP/1.1" 404 122
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:25:08 +0300] "POST /crm/customers?company_name=SAD&is_customer=1 HTTP/1.1" 404 122
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:25:28 +0300] "POST /crm/customers?company_name=SAD&is_customer=1 HTTP/1.1" 404 122
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:26:24 +0300] "POST /crm/customers?company_name=SAD&is_customer=1 HTTP/1.1" 404 95
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:28:15 +0300] "POST /crm/customers?company_name=SAD&is_customer=1 HTTP/1.1" 404 78
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:28:39 +0300] "POST /crm/customers?company_name=SAD&is_customer=1 HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:28:59 +0300] "GET /crm/customers?is_customer=0 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:28:59 +0300] "GET /crm/customers?is_customer=0 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:29:00 +0300] "GET /crm/products HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [10/Aug/2023:23:29:00 +0300] "GET /crm/products HTTP/1.1" 200 319
